feature,estado,n_unicos,valor_moda,frac_moda,intervalos_efectivos,categorica,H_bits,H_norm,intervalos_efectivos_qcut,H_bits_qcut,baja_informacion
Fwd IAT Std,conservada,904491,0.0,0.5564487212270735,10,False,2.3968104818211486,0.7215118489500051,9,2.170949911611388,False
Fwd IAT Max,descartada,593519,0.0,0.22177206799360577,15,False,3.680061915617628,0.941941379099314,14,3.480564292419798,False
Fwd IAT Min,descartada,95291,0.0,0.24030045413831577,10,False,3.022337104336701,0.9098141254135665,10,2.6761708169866347,False
Bwd IAT Total,descartada,748874,0.0,0.24614277666747142,14,False,3.54008094296978,0.9298006136650424,14,3.4668463267073966,False
Bwd IAT Mean,conservada,825592,0.0,0.24614277666747142,14,False,3.5392011033885766,0.929569524208132,14,3.4661472216500133,False
Bwd IAT Std,conservada,826542,0.0,0.605023473574788,9,False,2.15286567511502,0.6791535049363846,8,1.9166416613617787,False
Bwd IAT Max,conservada,600009,0.0,0.24614277666747142,14,False,3.539857551043754,0.9297419398795407,14,3.4666916212479117,False
Bwd IAT Min,descartada,113869,0.0,0.2515531987537267,11,False,3.1832387834344984,0.9201623660618579,10,2.888325341165415,False
Fwd PSH Flags,conservada,269,0.0,0.62388614209096,6,False,1.7502177825891423,0.6770766624664243,6,1.2373359797643817,False
Bwd PSH Flags,descartada,531,0.0,0.6293527540915067,6,False,1.7057823218196313,0.6598866797269787,5,1.1051661073361803,False
Fwd URG Flags,descartada,5,0.0,0.999955714728567,5,True,0.0007723970866196164,0.00033265331873125285,5,0.0007723970866196164,True
Bwd URG Flags,conservada,2,0.0,0.9999995238142857,2,True,1.0687829798558877e-05,1.0687829798558877e-05,2,1.0687829798558877e-05,True
Fwd Header Length,descartada,3740,16.0,0.306983120644984,13,False,3.297335013694899,0.8910657286294905,14,3.3849606734402418,False
Bwd Header Length,descartada,3989,16.0,0.3288767112328877,12,False,3.1718283986651494,0.884759156623563,12,3.114737099301584,False
Fwd Packets/s,descartada,979379,23255.81395348837,0.006183747686332661,20,False,4.321884125949425,0.9999898265457055,20,4.321884125949425,False
Bwd Packets/s,conservada,953287,0.0,0.026157357474044306,20,False,4.321879391390578,0.9999887310719393,20,4.321879391390578,False
Packet Length Min,conservada,171,0.0,0.5231257211237411,11,False,2.5741672156832505,0.7441011991146798,10,2.3688693834955954,False
Packet Length Max,descartada,5702,0.0,0.1437695146858055,18,False,4.06897151013018,0.9757900942397733,18,4.058439076326962,False
Packet Length Mean,conservada,248142,0.0,0.1437695146858055,18,False,4.091562832390144,0.9812077749539707,18,4.083255497635468,False
Packet Length Std,conservada,376452,0.0,0.16930973547407382,18,False,4.050770144570117,0.9714251798699062,17,3.846486321016024,False
Packet Length Variance,descartada,382003,0.0,0.16930973547407382,18,False,4.051193839442439,0.97152678718231,17,3.8496464024431427,False
FIN Flag Count,conservada,22,0.0,0.633411761120484,4,False,1.3686797723511446,0.6843398861755723,3,0.9635260982338115,False
SYN Flag Count,conservada,19,0.0,0.5074149258507414,19,True,1.5182903653684277,0.35741908508641773,19,1.5182903653684277,False
RST Flag Count,conservada,66,0.0,0.7092376695280667,4,False,1.2056398548129077,0.6028199274064538,3,0.5072399542160829,False
PSH Flag Count,conservada,647,0.0,0.6219337806621934,7,False,1.8418228111487625,0.6560705227106906,6,1.2779247862471121,False
ACK Flag Count,descartada,2318,0.0,0.4946379107637495,10,False,2.5816429677647355,0.7771519713921659,10,2.2727476409085243,False
URG Flag Count,conservada,5,0.0,0.9999552385428526,5,True,0.0007801465678121469,0.00033599083861810637,5,0.0007801465678121469,True
CWR Flag Count,conservada,9,0.0,0.9996361941142493,9,True,0.00495406649554102,0.0015628339766041548,9,0.00495406649554102,True
ECE Flag Count,conservada,5,0.0,0.9996733365999674,5,True,0.004518445456448708,0.0019459885370256911,5,0.004518445456448708,True
Down/Up Ratio,conservada,10443,1.0,0.605780608860578,9,False,2.1424049692083216,0.6758535196364361,9,2.0010033594081493,False
Fwd Bytes/Bulk Avg,conservada,4570,0.0,0.9585780332672864,2,False,0.24877429378969398,0.24877429378969398,1,-0.0,False
Fwd Packet/Bulk Avg,conservada,98,0.0,0.9585780332672864,2,False,0.24877429378969398,0.24877429378969398,1,-0.0,False
Fwd Bulk Rate Avg,conservada,27747,0.0,0.9585780332672864,2,False,0.24877429378969398,0.24877429378969398,1,-0.0,False
Bwd Bytes/Bulk Avg,conservada,45450,0.0,0.8611223411575408,4,False,0.7969811388176821,0.39849056940884103,3,0.562282058620178,False
Bwd Packet/Bulk Avg,descartada,822,0.0,0.8611223411575408,3,False,0.7195005868889557,0.45395432798036783,3,0.4013422694749905,False
Bwd Bulk Rate Avg,conservada,150399,0.0,0.8611223411575408,4,False,0.8013959492392648,0.4006979746196324,3,0.5689953638735616,False
Subflow Fwd Packets,conservada,2,0.0,0.9738574042831001,2,True,0.17466193479883466,0.17466193479883466,2,0.17466193479883466,False
Subflow Fwd Bytes,descartada,983,0.0,0.14839565890055384,18,False,4.0551645639590905,0.9724790164227107,18,3.925099116335901,False
Subflow Bwd Packets,conservada,2,0.0,0.9999390482285654,2,True,0.0009413771551688858,0.0009413771551688858,2,0.0009413771551688858,True
Subflow Bwd Bytes,descartada,1600,0.0,0.15868412744443985,18,False,4.060089918357669,0.973660177809756,17,3.910503311119408,False
FWD Init Win Bytes,conservada,4095,0.0,0.48136994820527984,5,False,1.9328512270270348,0.8324337137239378,5,1.8582638825285873,False
Bwd Init Win Bytes,conservada,10564,0.0,0.6100681850324354,8,False,2.0496098103368645,0.6832032701122882,7,1.821205919102229,False
Fwd Act Data Pkts,conservada,327,1.0,0.45510116327408157,7,False,2.1376677558739634,0.7614526182913828,7,1.4909509151122613,False
Fwd Seg Size Min,conservada,9,8.0,0.4758723841333015,9,True,1.9302331893233744,0.6089207752376226,9,1.9302331893233744,False
Active Mean,conservada,372750,0.0,0.7808493343637992,5,False,1.1969149394592287,0.5154832064329242,5,1.1219200949100712,False
Active Std,conservada,210681,0.0,0.8975748337754718,3,False,0.579061549975275,0.3653471610286065,3,0.5689953950233915,False
Active Max,conservada,340041,0.0,0.7808493343637992,5,False,1.1969149394472869,0.5154832064277812,5,1.1219277139322072,False
Active Min,conservada,210542,0.0,0.7808493343637992,5,False,1.1969149392562177,0.5154832063454922,5,1.12192769948591,False
Idle Mean,descartada,443144,0.0,0.7775798432491866,5,False,1.20940239447707,0.5208612605791045,5,1.12192771393875,False
Idle Std,conservada,219155,0.0,0.8950967633180811,3,False,0.5892517608826818,0.37177646828525784,3,0.5689953950233915,False
Idle Max,descartada,337346,0.0,0.7775798432491866,5,False,1.2094023944241215,0.5208612605563008,5,1.1219277139125792,False
Idle Min,conservada,389187,0.0,0.7775798432491866,5,False,1.20940239447707,0.5208612605791045,5,1.12192771393875,False
