grupo_P,feature_a,feature_b,pearson_menos_rinfo,min_H_bits,linfoot_aplicable,G_consenso,L_B10,L_B20,L_B50,L_ksg,G_B10,G_B20,G_B50,pearson_abs,spearman_abs,r_info,r_info_B10,r_info_B50,ksg_r_info,gauss_ratio,gauss_ratio_B10,gauss_ratio_B50,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,H_x,H_y,mi_corr_bits,mi_ref_gauss_bits,g_stat,g_dof,g_pvalue
Total Fwd Packet,Total Length of Bwd Packet,Fwd Header Length,0.07327458399444964,3.297335013694899,True,False,False,False,False,True,False,True,True,0.99583426550203,0.5685956962625829,0.9225596815075804,0.904342952630658,0.941838672285573,0.9739840849145736,1.0100139873848768,0.9447425397129284,1.130248654385262,0.3841892237712961,0.3542479376839447,0.3542479376839447,0.4166611685222539,3.87827652236386,3.297335013694899,1.3738714598154589,1.3602499341347538,3999679.537451428,180,0.0
PSH Flag Count,Bwd PSH Flags,PSH Flag Count,0.02612875618638688,1.7057823218196313,True,True,False,False,False,False,True,True,True,0.955595534942235,0.9862652058258002,0.9294667787558482,0.9125325030502052,0.9390383923096036,0.9469978924977572,1.756317523152939,1.698721828136634,1.8277122593472064,0.8116655775428309,0.7811150560787643,0.8434109733784296,0.7811150560787643,1.7057823218196313,1.8418228111487625,1.438675528417613,0.819143184220416,4188340.2052889057,30,0.0
Packet Length Std,Bwd Packet Length Std,Packet Length Max,0.043194571048889574,2.139629486196049,True,True,False,False,False,True,True,True,True,0.9728221277273084,0.827575637470106,0.9296275566784188,0.8972874863807521,0.944063964734132,0.9776719950731524,1.5042710319132324,1.3168574216474556,1.6146191455933918,0.4881235550626605,0.3539620716398732,0.6731359772620623,0.3539620716398732,2.139629486196049,4.06897151013018,1.440261585169302,0.957448195580474,4192957.6086781714,136,0.0
Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Std,0.04992232674991737,2.139629486196049,True,True,False,False,False,True,True,True,True,0.9835152845007902,0.8253432591774522,0.9335929577508728,0.9008676008691612,0.9499965800713076,0.98122574279434,1.5437635611725846,1.3561191344537964,1.691461471031415,0.5017665722611154,0.3638304350794489,0.3638304350794489,0.6919973393201443,4.069527364458319,2.139629486196049,1.4806179115785936,0.9590962948069404,4310444.853785975,136,0.0
Total Fwd Packet,Total Length of Bwd Packet,Bwd Header Length,0.058871219752478,3.171828398665149,True,True,False,False,True,True,True,True,True,0.9938529061687272,0.6215261854421201,0.9349816864162492,0.9157580012395844,0.9512440125205764,0.9773808782703884,1.1135364536548435,1.0188751108584808,1.2323806719067325,0.4263509118949524,0.3855694822063966,0.3855694822063966,0.4714457664892489,3.87827652236386,3.171828398665149,1.4953450705810585,1.3428793154216412,4353319.255234611,165,0.0
Packet Length Std,Bwd Packet Length Std,Packet Length Std,0.0467017385116234,2.139629486196049,True,True,False,False,True,True,True,True,True,0.982028325520952,0.8315914680644935,0.9353265870093286,0.9036090136901797,0.9557491740092706,0.9869785831170792,1.5640905134808665,1.3758559146094664,1.7785454951714812,0.5091889360889355,0.3700662211481529,0.700613451914013,0.3700662211481529,2.139629486196049,4.050770144570117,1.4990532001408203,0.9584184465160482,4364114.537294252,136,0.0
Total Fwd Packet,Total Fwd Packet,ACK Flag Count,0.05597817699419683,2.5816429677647355,True,True,False,False,True,True,True,True,True,0.9996853949435004,0.7840547854238514,0.9437072179493036,0.9235711807927272,0.959529895686387,0.9685228767294004,1.5047266226707987,1.3933841873810926,1.666875093903102,0.590368645677518,0.5637634202959079,0.5637634202959079,0.6182294296713468,2.831059274364596,2.5816429677647355,1.5960476595762354,1.0606894538380316,4646489.392582462,81,0.0
Total Fwd Packet,Total Bwd packets,ACK Flag Count,0.0553189536598816,2.5816429677647355,True,True,False,False,True,True,True,True,True,0.999824854103762,0.7872388371880846,0.9445059004438804,0.9151610290330116,0.9604066372988734,0.9694134174723404,1.5322367752717634,1.333893371200511,1.7180092974599337,0.5990070737338193,0.5767645526295674,0.5767645526295674,0.6221073620895737,2.784600907269565,2.5816429677647355,1.606059096533218,1.0481794474932644,4675635.161097595,81,0.0
Fwd IAT Mean,Fwd IAT Mean,Fwd IAT Min,0.020764797742205965,3.022337104336701,True,True,False,False,True,True,True,True,True,0.9669432099120604,0.7220436268419055,0.9461784121698544,0.928627449860974,0.9595959134077016,0.9693839906477596,1.2038272497747626,1.1104933858306305,1.3186531258833951,0.488019026147109,0.4422743734580027,0.4422743734580027,0.5384950704230392,3.6798732404885786,3.022337104336701,1.627513631841956,1.3519494862294117,4738094.61845572,126,0.0
Total Fwd Packet,Fwd Header Length,ACK Flag Count,0.04838878295159732,2.5816429677647355,True,True,False,True,True,True,True,True,True,0.9993132503520296,0.9233985781474467,0.9509244674004322,0.9302925882777427,0.9655083397284544,0.9811079305186354,1.5371001032894605,1.3929176844533595,1.705873479134791,0.5800425220960231,0.5132469596930753,0.5132469596930753,0.655531067618431,3.297335013694899,2.5816429677647355,1.6923471708684317,1.1009999721207069,4926841.081985565,108,0.0
Total Fwd Packet,Total Bwd packets,Fwd Header Length,0.04541085958797697,2.784600907269565,True,True,False,True,True,True,True,True,True,0.9987781572990032,0.8064157820019808,0.9533672977110262,0.9432348008542334,0.9637553938167278,0.9758164089632746,1.3972061098899344,1.354508650062003,1.494073971076277,0.570361161061796,0.5241431174480013,0.6206546327111376,0.5241431174480013,2.784600907269565,3.297335013694899,1.7282754533484923,1.2369509703079085,5031437.196290593,108,0.0
Bwd IAT Mean,Bwd IAT Mean,Bwd IAT Min,0.00031709226703113824,3.1832387834344984,True,True,False,True,True,True,True,True,True,0.95488480807208,0.7342454008763519,0.9545677158050488,0.9425955024092234,0.9674960456848256,0.9764576656353506,1.2933298130537616,1.234834950400494,1.430221445945418,0.5203760070318488,0.4935137448731799,0.4935137448731799,0.5487003989402505,3.539201103388576,3.1832387834344984,1.7466443903925868,1.3505019158790408,5084913.714122811,130,0.0
Flow Duration,Flow Duration,Bwd IAT Total,0.02553079792431623,3.54008094296978,True,False,False,True,True,True,False,True,True,0.9829340918176018,0.7846215090325573,0.9574032938932856,0.9139979515031028,0.9782564598114388,0.9979248145147424,1.2659350021852398,0.981064885599406,1.5568574560080095,0.4581619084590963,0.4146600044258474,0.4146600044258474,0.5062275891631584,4.321821786703103,3.54008094296978,1.7920866412020322,1.4156229491313193,5217207.342758701,247,0.0
Total Fwd Packet,Total Fwd Packet,Total Bwd packets,0.03797361959849843,2.784600907269565,True,True,False,True,True,True,True,True,True,0.9990708247678493,0.932045313619187,0.9610972051693508,0.948778430594698,0.9687482065173454,0.9734658763247926,1.5323269544688016,1.4554279666516836,1.6226469931230112,0.6610885034866932,0.6556417543554525,0.6556417543554525,0.6665805015300137,2.831059274364596,2.784600907269565,1.8561606693286776,1.211334607092477,5403742.6822544765,81,0.0
Total Fwd Packet,Bwd Header Length,ACK Flag Count,0.03785424063209364,2.5816429677647355,True,True,False,True,True,True,True,True,True,0.9992907315660876,0.9381053965306352,0.961436490933994,0.9339631290132197,0.972613126939723,0.9833151125074902,1.7037851371462742,1.4925742468647936,1.8776674160570328,0.6508178378493509,0.5871549093220194,0.5871549093220194,0.7213834906907072,3.171828398665149,2.5816429677647355,1.8623546158032416,1.0930689411474506,5421774.79202238,99,0.0
Total Fwd Packet,Total Fwd Packet,Bwd Header Length,0.035205272642450214,2.831059274364596,True,True,False,True,True,True,True,True,True,0.9983966298370818,0.8216910042458224,0.9631913571946316,0.9430107075929628,0.9703724299753342,0.9782111859596802,1.5268926377369123,1.3406817966670357,1.597684385581603,0.632484490966182,0.5975434913842268,0.669468644677317,0.5975434913842268,2.831059274364596,3.171828398665149,1.8953054154100144,1.2412826996265738,5517702.7174394885,99,0.0
Flow IAT Max,Flow IAT Max,Fwd IAT Max,0.030151238279136794,3.680061915617628,True,True,False,True,True,True,True,True,True,0.9985417457094192,0.7704731268255816,0.9683905074302824,0.9347977078641236,0.9853106710192256,0.9994563694805771,1.390831383739549,1.1006469648364705,1.7213386591193585,0.5023212742693763,0.4635377251479178,0.4635377251479178,0.5443497883653179,4.321635146952657,3.680061915617628,2.0032409249377223,1.440319041084318,5831929.674945654,266,0.0
Total Fwd Packet,Total Fwd Packet,Fwd Header Length,0.02605516796958296,2.831059274364596,True,True,True,True,True,True,True,True,True,0.9994851144525624,0.8730850207703915,0.9734299464829794,0.9555674559631188,0.9852180702621848,0.9941413264215828,1.6980131911395862,1.485266107827964,1.973375975787999,0.6960574431179866,0.644967789378858,0.7511940473593995,0.644967789378858,2.831059274364596,3.297335013694899,2.1266748746243054,1.2524489713752058,6191276.424061871,108,0.0
Flow Duration,Fwd IAT Total,Bwd IAT Total,0.008070406931182772,3.54008094296978,True,True,True,True,True,True,True,True,True,0.9823828712516756,0.918979997898112,0.9743124643204928,0.9546839689050304,0.9863820407817356,0.9987133652005744,1.5560458587928458,1.3401090002773806,1.832646149125312,0.595860218525913,0.584410981381636,0.584410981381636,0.6075337584902292,3.6801476172768703,3.54008094296978,2.1507186806420653,1.382169213387166,6261273.888704308,182,0.0
Flow Duration,Flow Duration,Fwd IAT Total,0.024829787958979832,3.6801476172768703,True,True,False,True,True,True,True,True,True,0.999454494728665,0.8069003402630881,0.9746247067696852,0.9473935527404636,0.9887940858193356,0.9998606408111052,1.4993033806020994,1.2112676039936676,1.8522930900632089,0.5414675082075885,0.4996565598395322,0.4996565598395322,0.5867771705803158,4.321821786703103,3.6801476172768703,2.159426606183613,1.4402866251901714,6286624.813169146,266,0.0
Total Fwd Packet,Total Bwd packets,Bwd Header Length,0.0226511912503764,2.784600907269565,True,True,True,True,True,True,True,True,True,0.9995582764001788,0.8770588691445175,0.9769070851498024,0.9561819414761809,0.9870445744293218,0.9945498965064316,1.815595652626108,1.5090517353349309,2.0325869358700177,0.7492074094339335,0.7019864063794169,0.799604860221926,0.7019864063794169,2.784600907269565,3.171828398665149,2.2265804192311287,1.226363599191574,6482126.168109634,99,0.0
Total Fwd Packet,Fwd Header Length,Bwd Header Length,0.01977168886577596,3.171828398665149,True,True,True,True,True,True,True,True,True,0.9988161340418538,0.9296958808527108,0.9790444451760778,0.968206606327872,0.9849572566520788,0.992466881441607,1.745475277354099,1.6116307671425467,1.870052629944157,0.7099192810252062,0.6962773632296535,0.6962773632296535,0.723828480124114,3.297335013694899,3.171828398665149,2.2958597290202976,1.3153206801648352,6683815.369637786,132,0.0
Packet Length Mean,Bwd Packet Length Mean,Packet Length Mean,-0.01744206185894437,4.070096207379612,True,True,True,True,True,True,True,True,True,0.9676162765733944,0.9698983427623448,0.9850583384323388,0.9724538411132226,0.990536670432385,0.9987617390887726,1.7106715002557007,1.5098076277753265,1.8836502137578504,0.6218529496573147,0.6202195103211889,0.6234906908962674,0.6202195103211889,4.070096207379612,4.091562832390144,2.537667096353392,1.4834333160832325,7387776.407781113,289,0.0
Packet Length Std,Bwd Packet Length Max,Packet Length Std,-0.004484732948815906,4.050770144570117,True,True,True,True,True,True,True,True,True,0.98334995161876,0.9798461277024954,0.987834684567576,0.9752073142745566,0.9920033007350328,0.99834937420254,1.8230647236689093,1.588474103679249,1.9746759713525197,0.6612933823653061,0.6597676091697724,0.6597676091697724,0.6628226840514958,4.069527364458319,4.050770144570117,2.6849423396996306,1.4727630373408775,7816531.057989986,289,0.0
Packet Length Mean,Packet Length Mean,Subflow Bwd Bytes,-0.000463342196698191,4.060089918357669,True,True,True,True,True,True,True,True,True,0.987610876376692,0.9710047466046702,0.9880742185733902,0.9763885438890594,0.9935570619332548,0.9988401382120244,1.820415140850032,1.589869709645411,2.0603853901129106,0.6622511010262693,0.6596991166691644,0.6596991166691644,0.6648129574962728,4.091562832390144,4.060089918357669,2.6992003863241623,1.4827389235313584,7858039.75730879,289,0.0
Fwd Packet Length Mean,Fwd Packet Length Mean,Subflow Fwd Bytes,-0.013852353810512419,4.0551645639590905,True,True,True,True,True,True,True,True,True,0.9746485263269048,0.9803878171885912,0.9885008801374172,0.9767179667329948,0.9949753328038384,0.9979905984646312,1.835039458769581,1.583791313313436,2.175684455274552,0.6696902871766123,0.6673260219354891,0.6673260219354891,0.6720629287584546,4.083949499747377,4.0551645639590905,2.725325773451848,1.4851592211969198,7934097.219275894,289,0.0
Packet Length Std,Packet Length Max,Packet Length Std,-0.0010130555918848039,4.050770144570117,True,True,True,True,True,True,True,True,True,0.9882957222435792,0.9897233318864936,0.989308777835464,0.978298533116853,0.9930911103442328,0.9986567731126385,1.88086609673444,1.6393204296525716,2.037592840375055,0.6841567592223304,0.6826248556149478,0.6826248556149478,0.6856921006310809,4.06897151013018,4.050770144570117,2.7775810896039506,1.476756423238415,8086225.365794559,289,0.0
Packet Length Mean,Bwd Packet Length Mean,Subflow Bwd Bytes,-0.013202780379480417,4.060089918357669,True,True,True,True,True,True,True,True,True,0.98102669339755,0.9954111956593026,0.9942294737770304,0.9857923029439832,0.997383827623348,0.9997366642320644,2.179157155101404,1.8710683877352232,2.5036433346593565,0.7922641312915352,0.7912896454355401,0.7912896454355401,0.7932398172424497,4.070096207379612,4.060089918357669,3.2206249848259496,1.4779223138113151,9376035.696486069,289,0.0
Packet Length Std,Bwd Packet Length Max,Packet Length Max,-0.006940439270102461,4.06897151013018,True,True,True,True,True,True,True,True,True,0.9893359496164952,0.9855644268018732,0.9962763888865976,0.9816552362999,0.9988821257623468,0.9999694875536098,2.382496926489348,1.7197627772447797,2.887936681079691,0.868928106124008,0.8688687609102295,0.8688687609102295,0.8689874553911652,4.069527364458319,4.06897151013018,3.535885198647172,1.4841090283618383,10293836.133480864,289,0.0
Flow Packets/s,Flow Packets/s,Fwd Packets/s,-0.029537066443247162,4.32176595458307,True,True,True,True,True,True,True,True,True,0.967304874805885,0.9986670767895628,0.9968419412491322,0.9919113887457734,0.9991378394683692,0.9999982469213844,2.3296097186841425,2.081281936241885,2.7962166044435883,0.8455948661691598,0.8455833057269003,0.8456064267694684,0.8455833057269003,4.32176595458307,4.321884125949425,3.65451306618893,1.568723308835244,10639191.189071,361,0.0
Packet Length Std,Packet Length Std,Packet Length Variance,-0.0586339327439096,4.050770144570117,True,True,True,True,True,True,True,True,True,0.9393770217428484,0.9999961292631152,0.998010954486758,0.9936089472997652,0.9994818784206452,0.9999975357887814,2.7186910249842877,2.303662565679786,3.2925805626566595,0.9843469472423722,0.9842954718408145,0.9843984253359238,0.9842954718408145,4.050770144570117,4.051193839442439,3.9875717517125953,1.4667248742381975,11608807.378229195,289,0.0
