criterion,variant,dataset,grupo,representante,n,miembros,descartadas
A_0.5,B20,EDA,0,Packet Length Std,20,ACK Flag Count; Bwd Header Length; Bwd Init Win Bytes; Bwd PSH Flags; Bwd Packet Length Std; FWD Init Win Bytes; Fwd Header Length; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Std; Fwd Seg Size Min; PSH Flag Count; Packet Length Max; Packet Length Std; Packet Length Variance; Protocol; SYN Flag Count; Total Bwd packets; Total Length of Bwd Packet; Total Length of Fwd Packet,ACK Flag Count; Bwd Header Length; Bwd Init Win Bytes; Bwd PSH Flags; Bwd Packet Length Std; FWD Init Win Bytes; Fwd Header Length; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Std; Fwd Seg Size Min; PSH Flag Count; Packet Length Max; Packet Length Variance; Protocol; SYN Flag Count; Total Bwd packets; Total Length of Bwd Packet; Total Length of Fwd Packet
A_0.5,B20,EDA,1,Flow IAT Max,16,Bwd IAT Max; Bwd IAT Std; Bwd IAT Total; Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Std; Fwd IAT Total; Fwd Packets/s; Idle Max; Idle Mean,Bwd IAT Max; Bwd IAT Std; Bwd IAT Total; Bwd Packets/s; Flow Duration; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Std; Fwd IAT Total; Fwd Packets/s; Idle Max; Idle Mean
A_0.5,B20,EDA,2,Active Max,6,Active Max; Active Mean; Active Min; Active Std; Idle Min; Idle Std,Active Mean; Active Min; Active Std; Idle Min; Idle Std
A_0.5,B20,EDA,3,Packet Length Mean,5,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Packet Length Mean; Subflow Bwd Bytes,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Subflow Bwd Bytes
A_0.5,B20,EDA,4,Fwd Packet Length Mean,4,Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Subflow Fwd Bytes,Fwd Packet Length Min; Packet Length Min; Subflow Fwd Bytes
A_0.5,B20,EDA,5,Bwd Bytes/Bulk Avg,3,Bwd Bulk Rate Avg; Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg; Bwd Packet/Bulk Avg
A_0.5,B20,EDA,6,Fwd Packet/Bulk Avg,3,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg
A_0.5,B20,EDA,7,Bwd IAT Mean,2,Bwd IAT Mean; Total Fwd Packet,Total Fwd Packet
A_0.5,B20,EDA,8,CWR Flag Count,2,CWR Flag Count; ECE Flag Count,ECE Flag Count
A_0.5,B20,EDA,9,URG Flag Count,2,Fwd URG Flags; URG Flag Count,Fwd URG Flags
A_1,B20,EDA,0,Bwd IAT Max,9,Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total; Total Bwd packets; Total Fwd Packet,Bwd Header Length; Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total; Total Bwd packets; Total Fwd Packet
A_1,B20,EDA,1,Packet Length Std,9,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Packet Length Max; Packet Length Mean; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
A_1,B20,EDA,2,Flow Packets/s,8,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packets/s
A_1,B20,EDA,3,Idle Min,6,Active Max; Active Mean; Active Min; Idle Max; Idle Mean; Idle Min,Active Max; Active Mean; Active Min; Idle Max; Idle Mean
A_1,B20,EDA,4,Fwd PSH Flags,3,ACK Flag Count; Bwd PSH Flags; Fwd PSH Flags,ACK Flag Count; Bwd PSH Flags
A_1,B20,EDA,5,Bwd Bytes/Bulk Avg,3,Bwd Bulk Rate Avg; Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg; Bwd Packet/Bulk Avg
A_1,B20,EDA,6,Total Length of Fwd Packet,3,FWD Init Win Bytes; Fwd Packet Length Max; Total Length of Fwd Packet,FWD Init Win Bytes; Fwd Packet Length Max
A_1,B20,EDA,7,Fwd Packet/Bulk Avg,3,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg
A_1,B20,EDA,8,Idle Std,2,Active Std; Idle Std,Active Std
A_1,B20,EDA,9,Bwd Init Win Bytes,2,Bwd Init Win Bytes; PSH Flag Count,PSH Flag Count
A_1,B20,EDA,10,CWR Flag Count,2,CWR Flag Count; ECE Flag Count,ECE Flag Count
A_1,B20,EDA,11,Flow IAT Min,2,Flow IAT Min; Fwd IAT Min,Fwd IAT Min
A_1,B20,EDA,12,Fwd Seg Size Min,2,Fwd Header Length; Fwd Seg Size Min,Fwd Header Length
A_1,B20,EDA,13,Fwd Packet Length Mean,2,Fwd Packet Length Mean; Subflow Fwd Bytes,Subflow Fwd Bytes
A_1,B20,EDA,14,Fwd Packet Length Min,2,Fwd Packet Length Min; Packet Length Min,Packet Length Min
A_1,B20,EDA,15,URG Flag Count,2,Fwd URG Flags; URG Flag Count,Fwd URG Flags
A_1,B20,EDA,16,SYN Flag Count,2,Protocol; SYN Flag Count,Protocol
A_1.5,B20,EDA,0,Fwd Seg Size Min,7,ACK Flag Count; Bwd Header Length; FWD Init Win Bytes; Fwd Header Length; Fwd Seg Size Min; Protocol; SYN Flag Count,ACK Flag Count; Bwd Header Length; FWD Init Win Bytes; Fwd Header Length; Protocol; SYN Flag Count
A_1.5,B20,EDA,1,Packet Length Std,7,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
A_1.5,B20,EDA,2,Idle Min,6,Active Max; Active Mean; Active Min; Idle Max; Idle Mean; Idle Min,Active Max; Active Mean; Active Min; Idle Max; Idle Mean
A_1.5,B20,EDA,3,Bwd IAT Max,6,Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total,Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total
A_1.5,B20,EDA,4,Flow Packets/s,6,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd Packets/s
A_1.5,B20,EDA,5,PSH Flag Count,5,Bwd PSH Flags; Bwd Packet Length Std; Fwd PSH Flags; Fwd Packet Length Std; PSH Flag Count,Bwd PSH Flags; Bwd Packet Length Std; Fwd PSH Flags; Fwd Packet Length Std
A_1.5,B20,EDA,6,Fwd Packet Length Max,5,Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet,Fwd Packet Length Mean; Fwd Packet Length Min; Packet Length Min; Total Length of Fwd Packet
A_1.5,B20,EDA,7,Bwd Bytes/Bulk Avg,3,Bwd Bulk Rate Avg; Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg; Bwd Packet/Bulk Avg
A_1.5,B20,EDA,8,Fwd Packet/Bulk Avg,3,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg
A_1.5,B20,EDA,9,Idle Std,2,Active Std; Idle Std,Active Std
A_1.5,B20,EDA,10,Bwd Init Win Bytes,2,Bwd Init Win Bytes; FIN Flag Count,FIN Flag Count
A_1.5,B20,EDA,11,CWR Flag Count,2,CWR Flag Count; ECE Flag Count,ECE Flag Count
A_1.5,B20,EDA,12,URG Flag Count,2,Fwd URG Flags; URG Flag Count,Fwd URG Flags
A_2,B20,EDA,0,Packet Length Std,7,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
A_2,B20,EDA,1,Idle Min,6,Active Max; Active Mean; Active Min; Idle Max; Idle Mean; Idle Min,Active Max; Active Mean; Active Min; Idle Max; Idle Mean
A_2,B20,EDA,2,Total Fwd Packet,5,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Fwd Packet,ACK Flag Count; Bwd Header Length; Fwd Header Length; Total Bwd packets
A_2,B20,EDA,3,Fwd Seg Size Min,4,FWD Init Win Bytes; Fwd Seg Size Min; Protocol; SYN Flag Count,FWD Init Win Bytes; Protocol; SYN Flag Count
A_2,B20,EDA,4,Bwd Bytes/Bulk Avg,3,Bwd Bulk Rate Avg; Bwd Bytes/Bulk Avg; Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg; Bwd Packet/Bulk Avg
A_2,B20,EDA,5,Bwd IAT Max,3,Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total,Bwd IAT Mean; Bwd IAT Total
A_2,B20,EDA,6,PSH Flag Count,3,Bwd PSH Flags; Fwd PSH Flags; PSH Flag Count,Bwd PSH Flags; Fwd PSH Flags
A_2,B20,EDA,7,Fwd Packet/Bulk Avg,3,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg; Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg; Fwd Bytes/Bulk Avg
A_2,B20,EDA,8,Idle Std,2,Active Std; Idle Std,Active Std
A_2,B20,EDA,9,Fwd IAT Std,2,Bwd IAT Std; Fwd IAT Std,Bwd IAT Std
A_2,B20,EDA,10,CWR Flag Count,2,CWR Flag Count; ECE Flag Count,ECE Flag Count
A_2,B20,EDA,11,Flow Packets/s,2,Flow Packets/s; Fwd Packets/s,Fwd Packets/s
A_2,B20,EDA,12,Fwd IAT Mean,2,Fwd IAT Max; Fwd IAT Mean,Fwd IAT Max
A_2,B20,EDA,13,Total Length of Fwd Packet,2,Fwd Packet Length Max; Total Length of Fwd Packet,Fwd Packet Length Max
A_2,B20,EDA,14,Fwd Packet Length Mean,2,Fwd Packet Length Mean; Subflow Fwd Bytes,Subflow Fwd Bytes
A_2,B20,EDA,15,Fwd Packet Length Min,2,Fwd Packet Length Min; Packet Length Min,Packet Length Min
A_2,B20,EDA,16,URG Flag Count,2,Fwd URG Flags; URG Flag Count,Fwd URG Flags
L,B10,EDA,0,Flow Packets/s,7,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packets/s
L,B10,EDA,1,Packet Length Std,6,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Variance; Subflow Bwd Bytes
L,B10,EDA,2,Bwd IAT Max,3,Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total,Bwd IAT Mean; Bwd IAT Total
L,B10,EDA,3,Fwd IAT Mean,3,Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total,Fwd IAT Max; Fwd IAT Total
L,B10,EDA,4,Bwd Header Length,2,Bwd Header Length; Total Bwd packets,Total Bwd packets
L,B10,EDA,5,Total Fwd Packet,2,Fwd Header Length; Total Fwd Packet,Fwd Header Length
L,B10,EDA,6,Total Length of Fwd Packet,2,Fwd Packet Length Max; Total Length of Fwd Packet,Fwd Packet Length Max
L,B10,EDA,7,Fwd Packet Length Mean,2,Fwd Packet Length Mean; Subflow Fwd Bytes,Subflow Fwd Bytes
L,B10,EDA,8,Fwd Packet Length Min,2,Fwd Packet Length Min; Packet Length Min,Packet Length Min
L_cal,B10,EDA,0,Packet Length Std,8,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
L_cal,B10,EDA,1,Bwd IAT Max,6,Bwd IAT Max; Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total,Bwd IAT Mean; Bwd IAT Total; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total
L_cal,B10,EDA,2,Flow Packets/s,6,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Fwd Packets/s
L_cal,B10,EDA,3,Total Fwd Packet,4,Bwd Header Length; Fwd Header Length; Total Bwd packets; Total Fwd Packet,Bwd Header Length; Fwd Header Length; Total Bwd packets
L_cal,B10,EDA,4,Fwd Packet Length Max,4,Fwd Packet Length Max; Fwd Packet Length Mean; Subflow Fwd Bytes; Total Length of Fwd Packet,Fwd Packet Length Mean; Subflow Fwd Bytes; Total Length of Fwd Packet
L_cal,B10,EDA,5,Fwd Packet Length Min,2,Fwd Packet Length Min; Packet Length Min,Packet Length Min
S,B10,EDA,0,Packet Length Std,8,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Std; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet,Bwd Packet Length Max; Bwd Packet Length Mean; Packet Length Max; Packet Length Mean; Packet Length Variance; Subflow Bwd Bytes; Total Length of Bwd Packet
S,B10,EDA,1,Fwd IAT Mean,7,Bwd IAT Max; Bwd IAT Total; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Total; Total Fwd Packet,Bwd IAT Max; Bwd IAT Total; Fwd Header Length; Fwd IAT Max; Fwd IAT Total; Total Fwd Packet
S,B10,EDA,2,Flow Packets/s,7,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Flow Packets/s; Fwd Packets/s,Bwd Packets/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Std; Fwd Packets/s
S,B10,EDA,3,Idle Min,6,Active Max; Active Mean; Active Min; Idle Max; Idle Mean; Idle Min,Active Max; Active Mean; Active Min; Idle Max; Idle Mean
