feature_a,feature_b,n_medidas_de_7,L_B10,L_B20,L_B50,L_ksg,G_B10,G_B20,G_B50,pearson_abs,spearman_abs,r_info,r_info_B10,r_info_B50,ksg_r_info,gauss_ratio,gauss_ratio_B10,gauss_ratio_B50,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,H_x,H_y,mi_corr_bits,mi_ref_gauss_bits,g_stat,g_dof,g_pvalue,benign_pearson,benign_r_info,benign_gauss_ratio
Flow IAT Mean,Flow IAT Std,7,True,True,True,True,True,True,True,0.7832917960935151,0.7345221469787879,0.9776840900291712,0.9638215069251852,0.9910812310417744,0.9995466628446554,1.5707278885794065,1.4149908768214996,1.969312811304298,0.557208703674227,0.5208334070621582,0.5208334070621582,0.596124471357611,4.321892087028573,3.7760331756146313,2.250985780642073,1.4330844935069589,6553176.209903626,285,0.0,0.7706298430463656,0.9821050121663396,1.6449619079092486
Flow IAT Std,Bwd Packets/s,7,True,True,True,True,True,True,True,0.0549338843204114,0.6903384168357316,0.9744862060124674,0.9557684229805112,0.9897903931472446,0.996745998757619,1.5037835133131736,1.3098506907803804,1.903086135294255,0.5335855074049415,0.4987530957982541,0.5708505793972168,0.4987530957982541,3.7760331756146313,4.321879391390578,2.155550726122725,1.433418246070248,6275341.167920971,285,0.0,0.0494196745085469,0.9770985462548948,1.5247055473558768
Packet Length Mean,Packet Length Std,7,True,True,True,True,True,True,True,0.9351435235111276,0.9506621836567402,0.9737778791466924,0.960137038798667,0.9832757075408114,0.9988287579073424,1.4464722959056326,1.3275774605513708,1.6186799166728167,0.5246857131956938,0.5220636154106738,0.5220636154106738,0.5273209806339731,4.091562832390144,4.050770144570117,2.136056084957535,1.476734874911763,6218587.447038786,289,0.0,0.8916871731040699,0.9660207727681336,1.2793520251076311
Flow Duration,Flow IAT Std,7,True,True,True,True,True,True,True,0.5587297346132439,0.8551364454963803,0.9685827622666464,0.9528802668982412,0.9851284557138572,0.9989367871648608,1.40085208962225,1.2765884050681844,1.720948110996012,0.4969579444672332,0.4645196724285483,0.4645196724285483,0.5316614413291305,4.321821786703103,3.7760331756146313,2.007571240653889,1.4331072177614732,5844536.294754892,285,0.0,0.5405824820314593,0.9702178626571778,1.397009405841874
Flow IAT Std,Fwd IAT Mean,7,True,True,True,True,True,True,True,0.9222286135635428,0.9122270206174592,0.9685170855461096,0.9598298628024832,0.9811218673312208,0.9926235347163443,1.437493615213833,1.3855120830071863,1.6513431594401773,0.5381654969780113,0.5312688829657221,0.5312688829657221,0.5451516386971916,3.7760331756146313,3.6798732404885786,2.006088927250293,1.3955463217496655,5840220.9139046,210,0.0,0.9243607943704528,0.9621694031756018,1.3148657964952846
Fwd IAT Mean,Bwd IAT Mean,7,True,True,True,True,True,True,True,0.9483157759201748,0.915199571806243,0.9666588227063018,0.95080738664112,0.9770231174806012,0.9930586594021458,1.4220264512941654,1.296050778495391,1.5694946500969194,0.544605963693686,0.5340950877597247,0.5340950877597247,0.5553236913951154,3.6798732404885786,3.539201103388576,1.9654022213234097,1.382113686798671,5721771.852327966,182,0.0,0.957117633159588,0.9644550620546358,1.3624031324152237
Total Length of Fwd Packet,Fwd Packet Length Mean,6,False,True,True,True,True,True,True,0.2163930158827972,0.7033001397100999,0.973880083791083,0.9407936588666987,0.9932815614420184,0.9996499836702164,1.4387446333150735,1.1113265958082634,2.0331136320346435,0.5236276893677976,0.5235379026860983,0.5235379026860983,0.5237174914479008,4.085350413473319,4.083949499747377,2.138835787207606,1.4865986205484027,6226679.847627199,289,0.0,0.1958025735666324,0.9752602876952288,1.4134269188041495
Fwd Packet Length Max,Fwd Packet Length Min,6,False,True,True,True,True,True,True,0.1597842142119499,0.0587402937167529,0.9733334320335744,0.9274501377269256,0.9891067877087152,0.9947273761410976,1.9421053705555071,1.3770561046433198,2.4511785631072067,0.6555133062801622,0.5217329292794386,0.5217329292794386,0.8235970370967424,4.071229785005712,2.579045996800042,2.124094641500729,1.093707207499852,6183764.727423519,170,0.0,0.1944611103453337,0.9873948630225738,2.11234222125866
Fwd Packet Length Max,Packet Length Min,6,False,True,True,True,True,True,True,0.2446298705788281,0.0580136859464978,0.9732387938409834,0.9269744843710888,0.9889386764612836,0.9945915614432116,1.9434614217570367,1.3752041909740818,2.4459382461931787,0.6553554983681571,0.5211137317663159,0.5211137317663159,0.8241786831938119,4.071229785005712,2.5741672156832505,2.1215737461425026,1.0916469565032263,6176425.777692582,170,0.0,0.3058000374514014,0.9872726026428064,2.108481229123756
Flow Bytes/s,Flow Packets/s,6,False,True,True,True,True,True,True,0.3139022309083327,0.3854168057886564,0.964316194855128,0.947912085018102,0.9771024068917382,0.9922430874994108,1.2674301149322087,1.1664398386579813,1.4316187259755826,0.4558160520199107,0.4436334112709496,0.4683332409157149,0.4436334112709496,4.093836622396378,4.32176595458307,1.9172797731463391,1.5127301699383158,5581675.506421087,323,0.0,0.3356262439999528,0.9675853355529764,1.2843672754958535
Flow IAT Std,Bwd IAT Max,6,False,True,True,True,True,True,True,0.8857999054051524,0.8982081313199377,0.9622626288794056,0.941226157268308,0.9723384089594868,0.9873610998283768,1.3601907065170438,1.2034999364410446,1.4757968517173814,0.5135810022937531,0.4972604775822333,0.4972604775822333,0.5304371809308662,3.7760331756146313,3.539857551043754,1.8776720602724888,1.3804476469924776,5466367.660425021,195,0.0,0.8893666768419299,0.9600388419968934,1.299433140348358
Flow Bytes/s,Flow IAT Mean,6,False,True,True,True,True,True,True,0.0257434378211631,0.4155017174081285,0.9619443167817848,0.9444706334382356,0.9748969840775404,0.9808893268578174,1.2377183081300958,1.134944034376255,1.3898041211129188,0.4449805295000164,0.4330811710578188,0.4572068352694091,0.4330811710578188,4.093836622396378,4.321892087028573,1.8717300862358548,1.512242384992756,5449069.104729291,323,0.0,0.0293976076721665,0.9668771132933288,1.2687275509471825
Flow Bytes/s,Bwd Packets/s,6,False,True,True,True,True,True,True,0.0156721129687308,0.4354416413513955,0.9615714796530228,0.9425937827614358,0.9757719954692736,0.9930395673762584,1.2328206947419156,1.118094851410452,1.4057423572720764,0.4433418234794362,0.4314869199196603,0.4555224350315603,0.4314869199196603,4.093836622396378,4.321879391390578,1.8648344268553765,1.5126566538094737,5428994.1351793455,323,0.0,0.0304519697217813,0.9645441002704354,1.2375090637407142
Flow Packets/s,Fwd IAT Mean,6,False,True,True,True,True,True,True,0.0374536762339156,0.6919650124768564,0.961293590933693,0.9350196785621768,0.979198105848956,0.9744153429629744,1.290856603805491,1.1024877416648364,1.5531592087449744,0.4663424730083026,0.4303192545302017,0.4303192545302017,0.5053812950315847,4.32176595458307,3.6798732404885786,1.859739103830192,1.440701545274367,5414160.389929792,266,0.0,0.0363075064040182,0.9490783404921486,1.1368286439348003
Flow IAT Std,Bwd IAT Mean,6,False,True,True,True,True,True,True,0.9492676443439289,0.8985283906285844,0.9602127939771964,0.943790978652148,0.9745427547969222,0.988599316131578,1.3331121765330565,1.2275365276388306,1.5173376269040306,0.5033976469562785,0.4873555328472735,0.4873555328472735,0.5199678138065397,3.7760331756146313,3.539201103388576,1.840270660350651,1.38043196420014,5357482.936988445,195,0.0,0.9591266813680646,0.9601355014582936,1.300611161683627
Flow IAT Mean,Fwd IAT Mean,6,False,True,True,True,True,True,True,0.91661171270035,0.6533083928507372,0.9591359957142154,0.9339025140406728,0.9790965942945352,0.99670519610329,1.264644682042016,1.0938337547398744,1.5510865342827858,0.4567230228225537,0.4214367211761861,0.4214367211761861,0.4949637966857785,4.321892087028573,3.6798732404885786,1.821404030434626,1.4402496260796458,5302557.512141254,266,0.0,0.9146049193511664,0.9543451550459604,1.1890201446917703
Fwd IAT Mean,Bwd IAT Max,6,False,True,True,True,True,True,True,0.7251026971990472,0.9116683157647464,0.9559661233846736,0.9444183736396942,0.9664666057268728,0.9840490655622024,1.2796697716432532,1.2303166869712625,1.3803175037677342,0.4900496221516994,0.480636249467154,0.480636249467154,0.4996473579287007,3.6798732404885786,3.539857551043754,1.7686804728229728,1.382138198475822,5149066.198951521,182,0.0,0.7233594621044759,0.9511417872567696,1.2030797502309212
Total Length of Fwd Packet,Packet Length Min,6,False,True,True,True,True,True,True,0.0323798893706252,0.1718282115520683,0.9517379550935828,0.8916430195822022,0.9792571438279308,0.9939164364761556,1.5602990980069664,1.1129875830057223,2.045595147484768,0.5254882789817272,0.4171255135305771,0.4171255135305771,0.6620020171145332,4.085350413473319,2.5741672156832505,1.7041038891724136,1.092164887712321,4961067.796058462,170,0.0,0.0391384382279572,0.9712623416733636,1.6459434619815996
Total Length of Fwd Packet,Fwd Packet Length Min,6,False,True,True,True,True,True,True,0.0221245011788408,0.1725661538964772,0.9515255289556148,0.8915670537635169,0.9793455580776076,0.9940859133030108,1.554541234049037,1.1104600914670737,2.0445446574593733,0.5240392020668968,0.4163692650843236,0.4163692650843236,0.6595517689022845,4.085350413473319,2.579045996800042,1.701014349269823,1.0942227275884313,4952073.381449842,170,0.0,0.0261137510541114,0.9713590770836616,1.6465786040026769
Fwd Packet Length Min,Fwd Packet Length Mean,6,False,True,True,True,True,True,True,0.1956906286750207,0.2827019745461665,0.9513293667015846,0.8981985759229274,0.9819961239453926,0.9943197027433932,1.5534587636448836,1.1535033211882042,2.1330912427958864,0.5232537822246249,0.4158165191161571,0.6584503212963783,0.4158165191161571,2.579045996800042,4.083949499747377,1.6981736652311257,1.0931565774212746,4943803.447795736,170,0.0,0.1655367555241497,0.9726715135128622,1.6742609346149575
Flow Duration,Flow Bytes/s,6,False,True,True,True,True,True,True,0.0457114896326793,0.3097877914403008,0.951321575159336,0.9314220186639476,0.9685969770914752,0.9820688512884204,1.1228925309134616,1.0305947278859515,1.287859143756292,0.4036961674448044,0.3929040020908399,0.3929040020908399,0.4147847686518209,4.321821786703103,4.093836622396378,1.6980610763190334,1.5122204748638572,4943475.673632714,323,0.0,0.053886707127264,0.9449448876494104,1.0377620207967997
Fwd Packet Length Mean,Packet Length Min,6,False,True,True,True,True,True,True,0.0754801337339287,0.2829044130739688,0.9512970791017724,0.8982308230904353,0.981951938799684,0.9942443335508436,1.5542497290041533,1.1551817148010357,2.133956782396247,0.5236055460034535,0.4157023061335586,0.4157023061335586,0.659517072097961,4.083949499747377,2.5741672156832505,1.6977072251779777,1.092300158395872,4942445.525464141,170,0.0,0.0178560358241059,0.9726025830407125,1.673096211978881
Flow Bytes/s,Flow IAT Max,6,False,True,True,True,True,True,True,0.0389300404600626,0.3293951986130197,0.9505919748867078,0.928274833453904,0.967757441218342,0.971215743256275,1.1159266526208227,1.0086870633686271,1.2757095694901208,0.4012176740879187,0.3905001993042134,0.4122292953687168,0.3905001993042134,4.093836622396378,4.321635146952657,1.6875993862051062,1.5122852225472658,4913019.106843378,323,0.0,0.0440454601717816,0.946212944602027,1.048440342909866
Fwd IAT Mean,Fwd IAT Std,5,False,False,True,True,True,True,True,0.2042620663213442,0.8497097662011783,0.9495263968282498,0.9288362490727196,0.9689826718975512,0.9896435465739064,1.6111754383499546,1.483286450702137,1.8781109590839775,0.5631956080275984,0.454526990697227,0.454526990697227,0.6978447911641507,3.6798732404885786,2.3968104818211486,1.6726017101465267,1.038125129228311,4869357.163353495,126,0.0,0.1839034572847028,0.9359603369731064,1.569973958366812
Flow IAT Std,Fwd IAT Std,5,False,False,True,True,True,True,True,0.4810798909036082,0.8055979463968341,0.9423513151935748,0.8964696368324672,0.9693621083911031,0.9893054601338443,1.5207883011304413,1.216891378700204,1.883792397495689,0.5249917527995883,0.4182649068471343,0.4182649068471343,0.6589516261002387,3.7760331756146313,2.3968104818211486,1.5793821644501425,1.0385286126123845,4597972.015384537,135,0.0,0.4487550986343382,0.9158122538004356,1.3717839325317622
Bwd Packet Length Min,Packet Length Std,5,False,False,True,True,True,True,True,0.3386551956589546,0.1794061667304618,0.939938449112748,0.9128083397571388,0.9555706760105934,0.9825871867578916,1.4335486590874449,1.2765944079221845,1.5746536875157342,0.4877687519350437,0.382816535133741,0.6214944589087588,0.382816535133741,2.4951176460853897,4.050770144570117,1.5507017913675352,1.0817224665081593,4514476.357529919,153,0.0,0.3482081113706077,0.9576451761126438,1.4366644048034485
Total Fwd Packet,Fwd IAT Mean,5,False,False,True,True,True,True,True,0.0013028103916202,0.8675620838190559,0.939134401131002,0.9281117986589208,0.9557212579206472,0.9752249704360708,1.1936012571274817,1.1660894490426277,1.328624407985094,0.4775586831203741,0.4188753441578403,0.544463404219198,0.4188753441578403,2.831059274364596,3.6798732404885786,1.5414081700668802,1.2913928842337432,4487420.327885017,126,0.0,0.0016465044666961,0.9395683052471164,1.2474172664806968
Bwd IAT Std,Bwd IAT Max,5,False,False,True,True,True,True,True,0.6913888024568593,0.8175981067983578,0.9378755978897404,0.9130441661850998,0.9595521285895288,0.9846541754680356,1.5888509015129717,1.4523331356972788,1.8342574400142104,0.5531832038893363,0.431404388992311,0.7093383027003118,0.431404388992311,2.15286567511502,3.539857551043754,1.5271100839278493,0.9611412137373432,4445795.063638912,104,0.0,0.6789814810022892,0.9059412643000978,1.437243706987917
Bwd IAT Mean,Bwd IAT Std,5,False,False,True,True,True,True,True,0.2657850609713355,0.801238808449972,0.9357817030405798,0.9119786758246964,0.959707373399978,0.9851429845853376,1.564591666342049,1.4429044483279676,1.8365550537896984,0.5448542291346699,0.4249483747949653,0.4249483747949653,0.6985934024319335,3.539201103388576,2.15286567511502,1.5039777569575234,0.9612589593256378,4378451.139885466,104,0.0,0.2139495062828106,0.910269089247168,1.475259568779638
Flow IAT Max,Fwd IAT Std,5,False,False,True,True,True,True,True,0.6944150469032621,0.7769171799112923,0.9251725722300402,0.874780407757682,0.9518364509985752,0.9814957723859632,1.3446693193958077,1.0866045070784591,1.5860306638889723,0.4342678946732645,0.3234078233708164,0.3234078233708164,0.5831293825187264,4.321635146952657,2.3968104818211486,1.3976506162787774,1.0394009858920374,4068906.54180085,171,0.0,0.6740693256887761,0.8910273847117289,1.1875734713905732
Fwd IAT Mean,Bwd Packets/s,4,False,False,True,True,False,True,True,0.0405927293444025,0.6774279268999068,0.9460928697133753,0.916334692092156,0.9699731376295208,0.9698129419828232,1.128906153869562,0.9736393182379844,1.3765272566618758,0.4078256627297739,0.3763177110940319,0.4419716805181669,0.3763177110940319,3.6798732404885786,4.321879391390578,1.6263997601925697,1.44068641544538,4734851.862656719,266,0.0,0.037499580886269,0.93932900736944,1.0531045674576274
Flow IAT Max,Bwd IAT Max,4,False,False,True,True,False,True,True,0.9596340877080266,0.7431300036942293,0.945900148136114,0.8935423301746083,0.971858551500907,0.9966902679100644,1.1471276667699006,0.8708930076736777,1.4308610164586475,0.4151848703014815,0.375759840206023,0.375759840206023,0.458746406834604,4.321635146952657,3.539857551043754,1.6238969322476633,1.41562005632752,4727565.511633496,247,0.0,0.9733178136382266,0.9509158838443076,1.1726730909965362
Flow Bytes/s,Flow IAT Std,4,False,False,True,True,False,True,True,0.0322594618810712,0.2128196166992779,0.9417533625670506,0.9187968675679384,0.9613534009946596,0.9512461676133834,1.1018597361990203,0.9937827622895244,1.265970590183006,0.3998653663176728,0.3840311362946763,0.3840311362946763,0.4163524674667979,4.093836622396378,3.7760331756146313,1.5721607299036404,1.4268247384435448,4576948.633771698,255,0.0,0.0366345210526643,0.944619319857504,1.0991655456602454
Flow Duration,Bwd IAT Max,4,False,False,True,True,False,True,True,0.6496328494468127,0.7817505460107831,0.939508060655031,0.8994393402916367,0.9583751585125933,0.9845879743132908,1.0919104034325513,0.9001715441427869,1.2405432100809353,0.3951864527993518,0.3576527049220646,0.3576527049220646,0.4366591677537165,4.321821786703103,3.539857551043754,1.545711252205475,1.4156026422555792,4499947.664015881,247,0.0,0.6375536597316204,0.9349457900160966,1.0359761241349024
Flow Duration,Fwd IAT Mean,4,False,False,True,True,False,True,True,0.4332499525277943,0.8011983626220813,0.9383057038393148,0.9161631084601998,0.958082178511127,0.9956299961535948,1.06365773441167,0.9723095563449836,1.2174372182674138,0.3841474788650479,0.354471227763554,0.354471227763554,0.4163082190039041,4.321821786703103,3.6798732404885786,1.5319614749079256,1.440276721867945,4459918.6623879485,266,0.0,0.4179349444053306,0.925623172316014,0.9561976060765116
Flow IAT Mean,Bwd IAT Mean,4,False,False,True,True,False,True,True,0.7829338168773078,0.6229142787735993,0.9377521438157234,0.8900386706058591,0.9629165742814136,0.9887413888668406,1.07782412695006,0.8543008638054794,1.2965618244963706,0.3901093833591296,0.3530222328563699,0.3530222328563699,0.4310927664625536,4.321892087028573,3.539201103388576,1.5257239947271035,1.415559326032601,4441759.815236525,247,0.0,0.7793948913868206,0.942591272394228,1.096461204635344
Bwd IAT Mean,Bwd Packets/s,4,False,False,True,True,False,True,True,0.0415432537302775,0.5760004503065342,0.936949904060897,0.8855030104278356,0.9717787286546752,0.9609601092904728,1.0711491411248475,0.8333782575992075,1.4288788261480108,0.3878244845022902,0.3509550715897052,0.4285671955050305,0.3509550715897052,3.539201103388576,4.321879391390578,1.5167854912075516,1.416035762876799,4415737.621262576,247,0.0,0.0391899553273217,0.9416942006149251,1.088694951343833
Fwd Packet Length Max,Packet Length Std,4,False,False,True,True,False,True,True,0.2289409327267852,0.6530888913281331,0.9338204980929946,0.9018439357545583,0.9561215272439004,0.9886563523115388,1.005539091322475,0.8745550315441333,1.1681266968409223,0.3651843518939621,0.3642655937427241,0.3642655937427241,0.3661054273558519,4.071229785005712,4.050770144570117,1.4830089348981683,1.4748396633170469,4317405.713898869,289,0.0,0.629419815558197,0.8979276575505205,0.7765866084862582
Flow IAT Max,Fwd IAT Mean,4,False,False,True,True,False,True,True,0.7566425254008304,0.7658267248868642,0.9332999304557528,0.9076642012078676,0.95776781321386,0.9841650454795446,1.0258679110412694,0.9233460281435016,1.2138905906635196,0.370511820171843,0.3418963367232104,0.3418963367232104,0.4015223158070551,4.321635146952657,3.6798732404885786,1.4775512253973864,1.4402938326608272,4301516.972011353,266,0.0,0.7579802707464678,0.9192388777264108,0.9173235078255728
Bwd Packet Length Min,Packet Length Mean,4,False,False,False,True,True,True,True,0.2672351523402399,0.0693037572283157,0.926638366017022,0.9016421260035226,0.9484339592894618,0.9884080155976588,1.3060809321524358,1.185348825287324,1.4815519055342894,0.4417244777853034,0.3449469961436119,0.5656536118768357,0.3449469961436119,2.4951176460853897,4.091562832390144,1.411372308565829,1.0806162725612047,4108853.781018628,153,0.0,0.144711288395725,0.941667703365212,1.2565003087057265
Fwd IAT Std,Bwd IAT Std,4,False,False,False,True,True,True,True,0.9341405457517712,0.9150148844806184,0.926630073798176,0.8967858565229367,0.9482197450464762,0.9734507270798088,1.543697907929143,1.397166817047852,1.7445405107590728,0.6212868257471116,0.5888216415664304,0.5888216415664304,0.6555420055894361,2.3968104818211486,2.15286567511502,1.4112938824295556,0.9142293159694656,4108625.4631434632,72,0.0,0.9570734759912912,0.9171493313390772,1.621413060327315
Total Fwd Packet,Bwd IAT Mean,4,False,False,False,True,True,True,True,0.0012469960927935,0.8422821662400278,0.9217586418799611,0.9039136687556169,0.935232311594242,0.9505036327753176,1.071150631542866,1.0213005543027638,1.140158660475057,0.4317790863617362,0.3861743852521643,0.4827694081720061,0.3861743852521643,2.831059274364596,3.539201103388576,1.366748810384865,1.2759632213596557,3978943.7437376464,117,0.0,0.0016647879319238,0.9107135675787892,1.0419632030074826
Fwd Packet Length Max,Fwd Packet Length Std,4,False,False,False,True,True,True,True,0.9482783483376086,0.7512539796111505,0.9199215781456646,0.8766944167990357,0.9395214109554956,0.9838928002075392,1.4002668039636816,1.1680384019722887,1.54479771445194,0.4559973790843715,0.3317664939855914,0.3317664939855914,0.626746864138868,4.071229785005712,2.155092764344146,1.350697631981058,0.964600194875498,3932214.794420719,136,0.0,0.948678698794336,0.8940729771405251,1.338841813486351
Fwd IAT Std,Bwd IAT Max,4,False,False,False,True,True,True,True,0.6667883227817482,0.8106755091534799,0.9196701310633608,0.8889883066218106,0.9410128304357352,0.9675461209847886,1.3001975132377348,1.1782481730226328,1.4567091012817155,0.4629681044287873,0.3809561830235162,0.5626354821629275,0.3809561830235162,2.3968104818211486,3.539857551043754,1.3485306210926005,1.0371736658182855,3925906.089886481,117,0.0,0.6725345930862385,0.9065971666796704,1.2995378228755023
